customer_id,full_name,customer_type,gender,birth_date,email,phone,city,kvkk_consent,marketing_consent,created_at,updated_at
C000001,İbrahim Bulut,individual,M,1975-06-09,ibrahim.bulut4@yahoo.com,+905429933989,İstanbul,True,True,2024-06-30T13:03:10,2024-12-17T13:03:10
C000002,Halil Turan,individual,M,1988-07-11,halil.turan@hotmail.com,+905428326182,İstanbul,True,True,2026-01-06T14:01:52,2026-01-27T14:01:52
C000003,Esra Aydın,individual,F,1983-12-11,,+905344429190,İstanbul,True,False,2025-10-02T18:35:15,2026-01-31T18:35:15
C000004,Meridyen Danışmanlık Ltd. Şti.,corporate,,,meridyendanismanlik@meridyen.com.tr,+905447297363,Eskişehir,True,False,2024-10-01T19:45:06,2024-11-22T19:45:06
C000005,İrem Koç,individual,F,1994-04-01,irem.koc@icloud.com,+905367494546,ankara,True,True,2025-10-11T05:03:56,2025-12-11T05:03:56
C000006,Onur Karaca,individual,M,1981-09-22,onur.karaca@yahoo.com,+905481759998,İzmir,True,True,2025-07-19T06:37:15,2025-08-23T06:37:15
C000007,Kuzey Gıda A.Ş.,corporate,,,kuzeygida@kuzey.com.tr,+905532535336,Ankara,True,False,2025-02-23T10:13:22,2025-05-23T10:13:22
C000008,Ege Danışmanlık Ltd. Şti.,corporate,,,egedanismanlik@ege.com.tr,+905448044616,Ankara,True,True,2024-09-15T11:24:48,2025-01-27T11:24:48
C000009,Tolga Yıldız,individual,M,1981-07-18,tolga.yildiz54@gmail.com,+905381194508,İstanbul,True,False,2025-03-24T14:46:28,2025-07-10T14:46:28
C000010,Ufuk İnşaat Ltd. Şti.,corporate,,,ufukinsaat@ufuk.com.tr,+905376934803,İstanbul,True,False,2024-02-02T10:22:48,2024-04-06T10:22:48
C000011,Merve Arslan,individual,F,1991-12-02,merve.arslan31@yahoo.com,+905583854249,Kocaeli,False,True,2026-02-25T18:57:34,2026-06-29T18:57:34
C000012,Aslı Çelik,individual,F,1989-07-07,asli.celik95@yahoo.com,+905327737471,Samsun,True,False,2026-08-22T15:48:46,2026-09-14T15:48:46
C000013,Cem Uzun,individual,M,1971-07-11,cem.uzun73@yahoo.com,0 (530) 943-1317,İstanbul,True,True,2025-11-26T23:42:28,2025-12-09T23:42:28
C000014,Umut Koç,individual,M,1996-03-12,umut.koc98@icloud.com,+905445506670,Mersin,True,True,2025-12-30T11:32:29,2026-02-02T11:32:29
C000015,Nazlı Yılmaz,individual,F,1984-10-20,nazli.yilmaz@gmail.com,+905358778828,Ankara,True,False,2024-12-01T05:41:29,2025-05-10T05:41:29
