advisor_id,advisor_name,dealer_id
A0011,Sude Öztürk,D001
A0012,Mehmet Kurt,D001
A0013,Tolga Çetin,D001
A0014,Burak Yıldırım,D001
A0021,Melis Sarı,D002
A0022,Hasan Karaca,D002
A0023,Furkan Demir,D002
A0024,Mehmet Yıldız,D002
A0031,Onur Çetin,D003
A0032,Zeynep Uzun,D003
A0033,Mehmet Ateş,D003
A0034,Cem Sarı,D003
A0041,Oğuz Çetin,D004
A0042,Halil Karaca,D004
A0043,Barış Yılmaz,D004
A0044,Yasemin Arslan,D004
A0051,Pınar Güneş,D005
A0052,Eren Kurt,D005
A0053,Murat Aslan,D005
A0054,Yasemin Korkmaz,D005
A0061,İbrahim Yıldız,D006
A0062,Deniz Yıldırım,D006
A0063,Kaan Çakır,D006
A0064,Esra Koç,D006
A0071,Dilara Demir,D007
A0072,Ceren Turan,D007
A0073,Merve Öztürk,D007
A0074,Damla Bozkurt,D007
A0081,Hasan Ateş,D008
A0082,Efe Avcı,D008
A0083,Seda Erdoğan,D008
A0084,Ece Kılıç,D008
A0091,Derya Çelik,D009
A0092,Mustafa Çetin,D009
A0093,Aslı Özkan,D009
A0094,Hasan Çetin,D009
A0101,Tuğba Yıldırım,D010
A0102,Deniz Kurt,D010
A0103,Ömer Erdoğan,D010
A0104,Kerem Erdoğan,D010
A0111,Kaan Aslan,D011
A0112,Hande Kurt,D011
A0113,Pınar Çelik,D011
A0114,Esra Arslan,D011
A0121,Merve Kara,D012
A0122,Kerem Turan,D012
A0123,Deniz Kurt,D012
A0124,Damla Ateş,D012
A0131,Serkan Polat,D013
A0132,Naz Şahin,D013
A0133,Serkan Demir,D013
A0134,Dilara Polat,D013
A0141,Selim Kurt,D014
A0142,Hüseyin Aslan,D014
A0143,Cansu Tekin,D014
A0144,Seda Polat,D014
